"neo_id","date","hour","minute","relative_velocity_kph","miss_distance_km","orbiting_body",
"2138911","2020-06-09","04","51","7693.189510562","38680454.74772498","Earth",
"2138937","2021-12-06","11","04","65852.7327254711","58889411.9947433","Earth",
"2138947","2020-03-30","03","11","45162.5853704933","39874509.34177192","Earth",
"2138971","2021-02-18","04","43","77619.4248119447","51609820.82744451","Earth",
"2140158","2021-05-27","04","39","36955.3276445839","15440394.13791356","Earth",
"2140333","2020-10-17","23","40","50577.1186541994","66039369.0081153","Earth",
"2141052","2020-05-23","14","33","76786.0319219044","72270183.84279047","Earth",
"2141053","2020-08-13","12","58","56929.7485076558","51410091.54434413","Earth",
"2141079","2021-01-13","07","09","78731.3237797145","74528194.54012887","Earth",
"2141484","2021-12-15","14","16","49715.9491131166","25049176.509150546","Earth",
"2142464","2021-04-06","19","55","31208.8472578135","19956261.536542963","Earth",
"2142555","2020-03-14","11","18","38217.6432848351","67813604.8027233","Earth",
"2143527","2020-01-28","01","22","24515.4267237558","63988991.35798215","Earth",
"2143649","2021-09-23","23","04","108820.0026598104","14737457.951718926","Earth",
"2144411","2020-06-09","21","16","42160.6316960503","13525579.190335523","Earth",
"2152561","2020-03-01","00","28","40415.6366830487","62615014.32858155","Earth",
"2152564","2020-05-02","10","25","114629.6574528984","71719243.14661811","Earth",
"2152664","2021-09-23","18","50","76778.849938666","17210922.957142115","Earth",
"2152685","2020-02-21","17","47","68095.6958825975","61511606.319893055","Earth",
"2152742","2021-11-19","10","49","76935.8149760484","26971843.190694254","Earth",
"2152754","2021-04-24","06","45","107288.7573565256","73814078.57599382","Earth",
"2152756","2020-06-02","06","02","54591.6447889614","24244283.166239306","Earth",
"2152828","2021-07-22","18","48","84454.377598517","37998781.55006429","Earth",
"2152978","2020-11-08","08","32","48977.4159789368","33059854.29223335","Earth",
"2153195","2021-04-22","23","12","89961.2666538494","54958884.125709794","Earth",
"2153201","2020-11-29","05","08","90261.3767538168","4302883.340332769","Earth",
"2153267","2020-02-09","00","02","94914.6631770071","49799161.90087527","Earth",
"2154020","2021-01-20","15","36","116050.1141567725","73771499.4767223","Earth",
"2154275","2020-12-02","06","09","39396.0939409044","42561434.27631622","Earth",
"2154302","2020-11-24","20","27","57198.8672230072","52078982.920474574","Earth",
"2154330","2021-05-05","16","32","30761.7722337933","19383762.351164058","Earth",
"2154590","2020-02-11","03","00","96430.6558778728","70927374.04858546","Earth",
"2154652","2020-01-17","23","06","90181.2206619277","62620448.291691855","Earth",
"2154658","2021-12-26","11","30","83525.5958130425","54566433.33709109","Earth",
"2154988","2021-04-15","23","48","104980.3435849176","42666938.21901308","Earth",
"2154993","2020-02-15","19","49","65813.6093980799","24913404.519175306","Earth",
"2159402","2020-10-19","17","19","29074.5180560595","12065135.055828316","Earth",
"2159454","2020-01-30","13","35","70439.0652171468","50888576.315366946","Earth",
"2159608","2020-06-26","22","54","115599.3198719555","38277515.54772207","Earth",
"2159857","2021-11-03","08","25","55060.1114609743","23476719.892376173","Earth",
"2159929","2020-05-11","12","07","103293.1125625723","42372076.7631408","Earth",
"2161995","2021-06-24","02","02","47290.1138965584","73531321.14362238","Earth",
"2162004","2020-01-16","17","30","56529.9869501675","36169893.060890675","Earth",
"2162039","2020-10-24","15","47","49608.9342537743","39988917.5591282","Earth",
"2162080","2020-02-07","13","45","39078.6104776849","33383030.840070516","Earth",
"2162142","2021-11-29","18","10","54874.500279565","36825716.47964493","Earth",
"2162173","2020-12-29","00","46","14797.6724718931","9054781.904950157","Earth",
"2162183","2020-07-09","23","44","84585.8747872566","72319531.42289121","Earth",
"2162210","2020-06-18","01","28","58859.3204758652","45641995.20356408","Earth",
"2162385","2021-06-22","12","57","61305.2445640781","74059818.50910671","Earth",
"2162463","2021-12-29","23","34","51909.2629383845","26219449.49988401","Earth",
"2162470","2020-05-29","08","59","68529.6428592953","51430089.54824913","Earth",
"2162567","2021-10-25","17","13","48644.5325776934","52129607.123918526","Earth",
"2162694","2021-10-07","01","41","78970.5756565942","54238774.26859682","Earth",
"2162783","2021-07-16","11","49","21496.3468666011","61027468.16361474","Earth",
"2162825","2020-02-01","02","29","96333.1996369334","13934045.478122817","Earth",
"2162911","2020-10-31","13","57","60427.5080778583","40386019.943916686","Earth",
"2162913","2021-06-06","09","00","42278.8457247692","30740809.892943222","Earth",
"2163014","2021-02-03","04","50","58605.7564779311","55604119.45601906","Earth",
"2163023","2021-12-15","23","47","57598.8093407254","48335369.616439596","Earth",
"2163081","2020-09-19","22","33","49063.7668416476","40150854.799998134","Earth",
"2163243","2020-02-14","15","36","57768.4316534558","46391602.55924664","Earth",
"2163348","2020-06-06","03","20","40126.2630141593","5093528.488432237","Earth",
"2163364","2021-05-03","07","24","25407.9197151921","14303121.644433385","Earth",
"2163373","2020-02-15","11","05","54680.7583356484","5775010.260658478","Earth",
"2163454","2021-12-26","04","33","71708.5136587421","56729049.09299894","Earth",
"2163692","2020-09-27","07","52","64367.6766666559","44381339.29371803","Earth",
"2163696","2021-11-06","17","23","53845.605310262","71755797.96958432","Earth",
"2163899","2021-12-17","17","26","20198.2272244971","5427634.596812455","Earth",
"2163902","2020-12-23","18","33","30518.7239097834","42852034.975413874","Earth",
"2164207","2021-09-16","01","57","24702.6034207097","36810578.65621985","Earth",
"2164222","2020-03-31","10","29","36161.369016988","73877020.74285251","Earth",
"2169675","2020-07-04","21","12","24518.8786491278","42473345.27598243","Earth",
"2170903","2021-12-19","07","08","99635.0428649099","40600000.95233858","Earth",
"2174050","2021-02-04","06","21","90730.071870336","23984137.018084552","Earth",
"2175189","2020-05-19","20","16","6420.5577501713","44284720.656670675","Earth",
"2175706","2021-04-12","06","07","86491.5970242989","64388264.64722093","Earth",
"2175729","2020-11-02","07","41","40128.7137516961","45759730.64210681","Earth",
"2184990","2020-06-23","23","07","92261.896409232","63744359.93012617","Earth",
"2185716","2020-11-13","17","52","66912.9238849741","64761397.713288665","Earth",
"2186822","2020-11-13","17","46","59889.114831847","27281467.5777294","Earth",
"2186823","2020-04-21","09","02","122465.0652954862","63443287.58956552","Earth",
"2188174","2020-05-06","09","10","119865.1932891529","72700370.46971987","Earth",
"2189011","2021-11-13","06","57","50454.379479883","66049368.548620135","Earth",
"2189040","2021-01-26","06","53","51753.932717432","13636263.348235596","Earth",
"2190119","2020-01-24","13","39","123624.3220600338","72911584.87497313","Earth",
